product_name, rating, specs
OPPO F11 Pro (Thunder Black| 64 GB),4.4,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) Full HD+ Display48MP + 5MP | 16MP Front Camera4000 mAh Li-polymer BatteryMediaTek Helio P70 Octa Core 2.1 GHz ProcessorVOOC ChargingPop-up CameraBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Apple iPhone 7 (Black| 32 GB),4.5,32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processoriOS 13 CompatibleBrand Warranty of 1 Year
OPPO F11 Pro (Aurora Green| 64 GB),4.4,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) Full HD+ Display48MP + 5MP | 16MP Front Camera4000 mAh Li-polymer BatteryMediaTek Helio P70 Octa Core 2.1 GHz ProcessorVOOC ChargingPop-up CameraBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Apple iPhone 6s (Space Grey| 32 GB),4.5,32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
Vivo V15 Pro (Topaz Blue| 128 GB),4.5,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.23 cm (6.39 inch) Full HD+ Display48MP + 5MP + 8MP | 32MP Front Camera3700 mAh Li-ion BatteryQualcomm Snapdragon 675AIE Octa Core 2.0GHz ProcessorIn-display Fingerprint ScanningDual-Engine Fast ChargingBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Apple iPhone 7 (Gold| 32 GB),4.5,32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processoriOS 13 CompatibleBrand Warranty of 1 Year
Apple iPhone 7 (Rose Gold| 32 GB),4.5,32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processoriOS 13 CompatibleBrand Warranty of 1 Year
Apple iPhone 6s (Silver| 32 GB),4.5,32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and M9 Motion Co-processorBrand Warranty of 1 Year
OPPO F11 Pro (Aurora Green| 128 GB),4.4,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) Full HD+ Display48MP + 5MP | 16MP Front Camera4000 mAh Li-polymer BatteryMediaTek Helio P70 Octa Core 2.1 GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
OPPO F11 Pro (Thunder Black| 128 GB),4.4,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) Full HD+ Display48MP + 5MP | 16MP Front Camera4000 mAh Li-polymer BatteryMediaTek Helio P70 Octa Core 2.1 GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Vivo V17Pro (Midnight Ocean Black| 128 GB),4.5,8 GB RAM | 128 GB ROM |16.36 cm (6.44 inch) Full HD+ Display48MP + 13MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4100 mAh Li-ion BatteryQualcomm Snapdragon 675 AIE ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Vivo V15 Pro (Topaz Blue| 128 GB),4.5,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.23 cm (6.39 inch) Full HD+ Display48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8MP + 5MP, AI Triple Rear Camera | 32MP Front Camera3700 mAh Li-ion BatteryQualcomm Snapdragon 675AIE Octa Core 2.0GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Galaxy A50s (Prism Crush Black| 128 GB),4.3,6 GB RAM | 128 GB ROM |16.26 cm (6.4 inch) Full HD+ Display48MP + 8MP + 5MP | 32MP Front Camera4000 mAh Li-ion BatteryExynos 9611 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
